City_ID,City,Country,Max TempF,Current Description,Latitude,Longitude,Hotel Name
474,bababe,BR,74.28200000000001,clear sky,-30.1811,-50.2056,Hotel Castelo
475,tabarqah,BR,74.28200000000001,clear sky,-30.1811,-50.2056,Hotel Castelo
476,mabaruma,GY,75.2,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
478,zemio,CF,71.07800000000006,light rain,5.0314,25.1361,OCHA Office
479,wahran,CF,71.07800000000006,light rain,5.0314,25.1361,OCHA Office
482,ati,TD,78.90800000000002,overcast clouds,13.2154,18.3353,
483,beyla,GN,73.25600000000003,light rain,8.6833,-8.6333,DIAN SINKO
484,vaitape,PF,77.77400000000002,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
495,tezu,IN,77.57600000000009,overcast clouds,27.9167,96.1667,Circuit House
496,yichang,CN,77.03600000000007,clear sky,30.7144,111.2847,Gezhouba Hotel
500,canico,PT,79.71800000000009,few clouds,32.6333,-16.85,Quinta Splendida Wellness & Botanical Garden
502,tual,ID,79.86200000000005,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
506,chok chai,TH,79.808,overcast clouds,14.7284,102.1652,โรงแรม ที่พัก ปลายนา รีสอร์ท โชคชัย นครราชสีมา โคราช
507,belmonte,BR,75.70400000000006,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
508,poum,NC,72.10400000000006,clear sky,-20.2333,164.0167,Gîte kajeon
515,carballo,ES,75.57800000000006,broken clouds,43.213,-8.691,Pazo do Souto
516,malanje,AO,73.49000000000002,clear sky,-9.5402,16.340999999999998,Malanje Hotel
519,dauphin,CA,77.14400000000008,clear sky,51.1494,-100.0502,Canway Inn & Suites
520,numata,JP,75.12800000000007,few clouds,36.6333,139.05,Hotel Bella-Vita
522,meulaboh,ID,78.04400000000007,overcast clouds,4.1363,96.1285,Kost Pria
525,payo,ID,71.54600000000005,clear sky,-3.7508,103.6372,Mess keban agung
527,stryn,NO,79.142,scattered clouds,61.9045,6.7226,Visnes Hotel Stryn
528,ruatoria,NO,79.142,scattered clouds,61.9045,6.7226,Visnes Hotel Stryn
529,khasan,RU,73.77800000000008,broken clouds,42.4308,130.6434,
533,olinda,BR,76.73000000000005,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
534,sola,VU,79.53800000000004,scattered clouds,-13.8833,167.55,Leumerus Bungalows
535,inderborskiy,VU,79.53800000000004,scattered clouds,-13.8833,167.55,Leumerus Bungalows
542,bangkal,PH,78.80000000000001,broken clouds,6.0667,121.0667,JB's Resort
544,daru,PG,76.98200000000003,moderate rain,-9.0763,143.2092,Daru Lodge
551,grand gaube,MU,71.99600000000005,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
552,gizo,SB,79.86200000000005,light rain,-8.103,156.8419,Imagination Island
554,aitape,PG,75.21800000000009,overcast clouds,-3.1374,142.3475,
561,erseke,AL,70.97000000000006,clear sky,40.3378,20.6789,Ersekë Apartament
565,sibsagar,IN,79.808,overcast clouds,26.9833,94.6333,Hotel Brahmaputra
567,aleksandrovskoye,RU,78.94400000000007,broken clouds,44.7142,43.0008,Mini hotel Tranzit
575,linxi,CN,73.54400000000007,overcast clouds,39.7,118.4333,Peace Hotel
577,harnosand,SE,71.61800000000008,broken clouds,62.6323,17.9379,First Hotel Stadt
580,puerto del rosario,ES,78.47600000000008,clear sky,28.5004,-13.8627,Hotel JM Puerto del Rosario
581,yebaishou,CN,70.84400000000008,overcast clouds,41.3975,119.6408,Siji Home
582,laje,BR,71.31200000000007,overcast clouds,-10.1833,-40.9667,NN Pousada
585,palora,EC,73.50800000000001,broken clouds,-1.7,-77.9333,Rancho grande
587,bubaque,GW,79.34000000000003,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
589,kenora,CA,79.77200000000005,few clouds,49.8167,-94.4337,Maynard Lake Lodge
590,maragogi,BR,76.44200000000001,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
597,rocha,UY,72.51800000000009,broken clouds,-34.4833,-54.3333,Beleza Pura B&B
598,dzhusaly,UY,72.51800000000009,broken clouds,-34.4833,-54.3333,Beleza Pura B&B
609,wageningen,NL,77.09000000000003,broken clouds,51.9667,5.6667,Fletcher Hotel-Restaurant De Wageningsche Berg
611,conde,BR,76.4600000000001,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
612,gazni,BR,76.4600000000001,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
613,litovko,RU,73.83200000000002,overcast clouds,49.2361,135.1742,
614,karpathos,GR,78.76400000000004,few clouds,35.507,27.2132,Alex
618,chernenko,RU,73.85,scattered clouds,44.365,39.3103,
619,jaguaruna,BR,77.64800000000002,broken clouds,-28.615,-49.0256,Pousada Recanto das Flores Jaguaruna
620,bouca,CF,72.392,moderate rain,6.5105,18.2733,
622,gaillac,FR,79.55600000000004,overcast clouds,43.9016,1.8969,Le Relais de Joseph - Chambres d'hôtes
623,kindu,CD,79.34000000000003,clear sky,-2.95,25.95,Résidence Okanda
630,quatre cocos,MU,71.708,clear sky,-20.2078,57.7625,Sunrise Attitude Hotel
632,sinnamary,GF,79.88000000000005,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
633,pangkalanbuun,ID,72.95,clear sky,-2.6833,111.6167,Grand Kecubung Hotel
638,vila velha,BR,76.96400000000003,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
639,bentiu,SS,70.64600000000004,overcast clouds,9.2333,29.8333,Mandela hôtel
644,riemst,BE,74.69600000000005,scattered clouds,50.8098,5.6044,Bed & Breakfast Montenakerhof (voorheen Im's & Wim's)
645,puerto baquerizo moreno,EC,76.19000000000003,few clouds,-0.9,-89.6,Hotel los Algarrobos
648,pata,PH,78.47600000000008,overcast clouds,17.7152,121.5018,Israel Bakeshop
649,wawa,NG,79.21400000000003,light rain,9.9022,4.4192,
651,leh,IN,74.24600000000005,overcast clouds,34.1667,77.5833,Hotel Ladakh Greens
652,loandjili,CG,75.308,broken clouds,-4.7561,11.8578,Résidence ARCHANGE
654,rochefort,FR,72.48200000000003,overcast clouds,45.9167,-1.0,Hôtel de France Citotel
655,peniche,PT,74.48000000000005,scattered clouds,39.3558,-9.3811,Hotel Star inn Peniche
656,karratha,AU,70.03399999999999,light rain,-20.7377,116.8463,ibis Styles Karratha
657,gardan diwal,AU,70.03399999999999,light rain,-20.7377,116.8463,ibis Styles Karratha
660,cap malheureux,MU,72.08600000000007,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
661,mitu,CO,72.21200000000006,overcast clouds,1.1983,-70.1733,
667,biak,ID,74.82200000000003,broken clouds,-0.9131,122.8766,Penginapan Kim
669,palanga,LT,78.8180000000001,light rain,55.9175,21.0686,"Hotel ""Austėja"""
670,makakilo city,US,79.12400000000002,drizzle,21.3469,-158.0858,Marriott's Ko Olina Beach Club
671,namatanai,PG,78.53000000000004,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
674,southbridge,US,71.29400000000007,overcast clouds,42.0751,-72.0334,Southbridge Hotel & Conference Center
676,labuhan,ID,74.55200000000008,few clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
679,buenavista,PH,77.95400000000006,overcast clouds,8.9769,125.4089,Room For Rent
700,manta,EC,76.78399999999999,scattered clouds,-0.95,-80.7333,Balandra Hotel
701,mansfield,GB,73.00400000000005,overcast clouds,53.1333,-1.2,281 Restaurant and Rooms
706,denpasar,ID,74.858,scattered clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
712,bhanpura,IN,79.86200000000005,broken clouds,24.513,75.7469,Bakshash
713,luklukan,PH,79.07000000000006,light rain,14.3254,122.7124,GT's
714,emba,KZ,76.424,clear sky,48.8264,58.1442,
717,sorong,ID,76.64000000000001,light rain,-0.8833,131.25,waigo splash hotel
721,moerai,PF,72.46400000000003,scattered clouds,-22.4333,-151.3333,Le Manotel
722,cristalina,BR,74.94800000000004,clear sky,-16.7686,-47.6136,HOTEL TOPAZIO
724,samarai,PG,78.87200000000004,light rain,-10.6167,150.6667,Nuli Sapi
725,zaysan,KZ,73.22000000000006,clear sky,47.4667,84.8667,Ерлан үй
726,fevralsk,KZ,73.22000000000006,clear sky,47.4667,84.8667,Ерлан үй
743,chake chake,TZ,74.75,clear sky,-5.2459,39.7666,Hotel Archipelago
745,abonnema,NG,79.25,overcast clouds,4.7084,6.7931,Corper's Lodge Obonoma
746,aguimes,ES,74.03000000000004,few clouds,27.9054,-15.4461,Hotel Villa de Aguimes
754,bereda,ES,72.41000000000008,broken clouds,43.2686,-7.5406,Pazo de Verdes
762,necocli,CO,75.308,overcast clouds,8.4234,-76.786,Hotel Boutique El Turista
768,lienz,AT,71.708,light rain,46.8289,12.769,Hotel Sonne
