City_ID,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
70,jamestown,42.097,-79.2353,301.65,63,75,1.79,US,broken clouds
71,east london,-33.0153,27.9116,288.67,72,0,3.09,ZA,clear sky
72,guerrero negro,27.9769,-114.0611,297.62,61,60,4.26,MX,broken clouds
73,carnarvon,-24.8667,113.6333,286.19,72,0,2.57,AU,clear sky
74,berbera,10.4396,45.0143,304.94,37,90,11.27,SO,overcast clouds
75,takhtamygda,54.1,123.5667,287.31,98,92,2.03,RU,overcast clouds
76,sitka,57.0531,-135.33,286.09,82,90,2.06,US,overcast clouds
77,hithadhoo,-0.6,73.0833,300.3,74,85,1.45,MV,overcast clouds
78,vao,-22.6667,167.4833,294.73,79,64,5.97,NC,broken clouds
79,catamarca,-28.4696,-65.7852,302.31,45,0,0.89,AR,clear sky
80,manzil tamim,-28.4696,-65.7852,302.31,45,0,0.89,AR,clear sky
81,the valley,18.217,-63.0578,304.07,74,20,7.72,AI,few clouds
82,tieli,46.95,128.05,293.76,98,100,2.11,CN,heavy intensity rain
83,castro,-24.7911,-50.0119,294.3,41,2,3.44,BR,clear sky
84,hokitika,-42.7167,170.9667,282.92,91,100,4.66,NZ,light rain
85,torbay,47.6666,-52.7314,289.42,91,90,4.12,CA,overcast clouds
86,tecpan,14.7623,-90.9947,295.57,45,93,2.1,GT,overcast clouds
87,le pradet,43.1066,6.0172,306.48,53,0,5.14,FR,clear sky
88,maltahohe,-24.8333,16.9833,287.41,25,17,4.67,NA,few clouds
89,nhulunbuy,-12.2333,136.7667,293.49,88,47,1.03,AU,scattered clouds
90,bluff,-46.6,168.3333,281.93,82,100,2.64,NZ,light rain
91,la sarre,48.8002,-79.1996,296.34,61,21,3.48,CA,few clouds
92,mount isa,-20.7333,139.5,281.02,46,4,0.0,AU,clear sky
93,kirakira,-10.4544,161.9205,298.86,84,75,2.91,SB,broken clouds
94,vyshneve,50.3891,30.3705,299.13,57,0,1.0,UA,clear sky
95,solnechnyy,50.7214,136.6319,295.77,72,100,1.67,RU,overcast clouds
96,kaitangata,-46.2817,169.8464,282.55,63,100,2.17,NZ,light rain
97,tiksi,71.6872,128.8694,282.04,81,83,3.23,RU,broken clouds
98,saratoga springs,43.0831,-73.7846,301.75,86,99,2.72,US,overcast clouds
99,sonoita,31.85,-112.8333,298.4,70,100,2.39,MX,overcast clouds
100,lake city,30.1897,-82.6393,305.92,58,75,1.54,US,broken clouds
101,mar del plata,-38.0023,-57.5575,287.16,59,90,3.13,AR,overcast clouds
102,mahebourg,-20.4081,57.7,295.31,60,40,5.14,MU,scattered clouds
